experiment_name, lr, init_std, l2_reg, num_train, batch_size, bond_dim, num_epochs, num_test, dynamic_mode, periodic_bc, loss, train_acc, test_acc
PERIODIC_BC, 1.5516087249400253e-06, 2.4336484298137027e-06, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.302184581756592, 0.11599999999999999, 0.11419999999999997
PERIODIC_BC, 0.00013531836434113497, 0.0005774716039302345, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.24776414036750793, 0.921, 0.779
PERIODIC_BC, 0.007413650290377343, 2.9775985254105254e-18, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 43.521785736083984, 0.16999999999999998, 0.13160000000000005
PERIODIC_BC, 0.007097068004132314, 5.907748813383455e-14, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.046638011932373, 0.265, 0.23479999999999998
PERIODIC_BC, 0.09112824031492943, 0.0014439716842042996, 0.0, 1000, 100, 15, 10, 5000, 0, 1, -1, -1, -1
PERIODIC_BC, 0.0001, 1e-05, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.3861364722251892, 0.881, 0.7643999999999999
PERIODIC_BC, 1.6848524999222036e-06, 5.612241167402349e-09, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.3021109104156494, 0.11599999999999999, 0.11419999999999997
PERIODIC_BC, 0.055644040713810995, 1.615203339367609e-12, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 3.1131936585795095e+28, 0.043000000000000003, 0.049000000000000016
PERIODIC_BC, 7.042066769304851e-06, 7.429793167269726e-13, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.2246456146240234, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 0.0015132515481378513, 5.87655322586855e-17, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.2882754802703857, 0.202, 0.1844000000000001
BASE_RANDOM, 0.021953511080433592, 6.87521671510624e-15, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.510283946990967, 0.11299999999999999, 0.1088
BASE_RANDOM, 29.883473307986517, 0.009095620032605188, 0.0, 1000, 100, 15, 10, 5000, 1, 1, -1, -1, -1
BASE_RANDOM, 0.9502953658017025, 24.016990187657505, 0.0, 1000, 100, 15, 10, 5000, 1, 0, -1, -1, -1
BASE_RANDOM, 0.000450634886781262, 8.868894844967667e-16, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.2954297065734863, 0.21000000000000002, 0.19060000000000002
BASE_RANDOM, 0.0011986976245975827, 2.6086868291854622e-11, 0.0, 1000, 100, 15, 10, 5000, 1, 1, 2.32769513130188, 0.045000000000000005, 0.0758
BASE_RANDOM, 0.00018466610676659553, 1.9773719996091617e-13, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.302168369293213, 0.132, 0.12440000000000005
BASE_RANDOM, 0.1468569112441372, 17407.60675499936, 0.0, 1000, 100, 15, 10, 5000, 1, 0, -1, -1, -1
BASE_RANDOM, 4.4856649098432866e-05, 2.3537108587553525e-17, 0.0, 1000, 100, 15, 10, 5000, 1, 1, 2.302337169647217, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 5.660570057015545e-06, 1.2371790204742841e-11, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.302584171295166, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 4.312938151808288e-05, 2.808444586542405e-10, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.30256724357605, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 3.8810893976996392, 1.799964846262293e-10, 0.0, 1000, 100, 15, 10, 5000, 1, 0, -1, -1, -1
BASE_RANDOM, 0.0016096682719965753, 7.812540453587074e-14, 0.0, 1000, 100, 15, 10, 5000, 1, 1, 2.1401236057281494, 0.13399999999999998, 0.1088
BASE_RANDOM, 0.0008968616662778984, 5.4671969209019685e-15, 0.0, 1000, 100, 15, 10, 5000, 1, 1, 2.0876572132110596, 0.20999999999999996, 0.2146
BASE_RANDOM, 0.02063969973751139, 1.4257756943631851e-08, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 8.940876007080078, 0.11400000000000002, 0.11340000000000001
BASE_RANDOM, 8.830565694624159e-05, 1.5004292446949196e-10, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3025033473968506, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 0.00012885481563566624, 1.192359729817435e-09, 0.0, 1000, 100, 15, 10, 5000, 1, 1, 2.3007853031158447, 0.121, 0.11859999999999998
BASE_RANDOM, 0.0024666681383152134, 3.902408157073935e-07, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.298755168914795, 0.193, 0.17619999999999997
BASE_RANDOM, 8.354991673442731e-05, 7.885436951267127e-07, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.302516460418701, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 0.0002580730907400379, 9.619346857270039e-17, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3015294075012207, 0.16099999999999998, 0.14259999999999998
BASE_RANDOM, 0.00017881666556595886, 2.2957259739825165e-13, 0.0, 1000, 100, 15, 10, 5000, 1, 1, 2.299361228942871, 0.15, 0.13120000000000007
BASE_RANDOM, 0.004502983491353149, 2.664621569337783e-13, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3022971153259277, 0.09899999999999999, 0.106
BASE_RANDOM, 0.00011501359741973063, 1.8304650840066253e-19, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3024401664733887, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 0.0020616582531385974, 7.844454330157358e-24, 0.0, 1000, 100, 15, 10, 5000, 1, 1, 2.2844138145446777, 0.23499999999999996, 0.18
BASE_RANDOM, 4.4603640131380486e-07, 1.4732676064385999e-15, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3025834560394287, 0.11599999999999999, 0.09739999999999999
BASE_RANDOM, 1.3488291414581841e-05, 1.0039219878013428e-16, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3025810718536377, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 2.3439876464262177, 3.6649849796080386e-14, 0.0, 1000, 100, 15, 10, 5000, 1, 0, -1, -1, -1
BASE_RANDOM, 4.623217134022915e-05, 6.753632396612452e-20, 0.0, 1000, 100, 15, 10, 5000, 1, 1, 2.3023295402526855, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 1.8504929071281518e-05, 8.276277029946317e-13, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.302579879760742, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 7.521578832131983e-08, 8.442524721837531e-05, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3025832176208496, 0.10200000000000001, 0.09859999999999997
BASE_RANDOM, 0.05248369595842913, 1.0678546070104001e-16, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 89861584.0, 0.07300000000000001, 0.07379999999999999
BASE_RANDOM, 2.214366450965489e-08, 2.999252477059563e-16, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3025834560394287, 0.097, 0.09199999999999997
BASE_RANDOM, 5.258351310551486e-05, 1.998646281140595e-10, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3025574684143066, 0.11599999999999999, 0.11419999999999997
BASE_RANDOM, 0.016927953044492097, 6.304313436338208e-19, 0.0, 1000, 100, 15, 10, 5000, 1, 1, 4.100854396820068, 0.10600000000000001, 0.13799999999999998
BASE_RANDOM, 0.00020647340850009206, 2.4938158477476446e-10, 0.0, 1000, 100, 15, 10, 5000, 1, 0, 2.3019461631774902, 0.122, 0.1198
PERIODIC_BC, 0.0005, 2e-11, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.4895802140235901, 0.842, 0.7632000000000001
OPEN_BC, 1.54286779317074e-06, 2.109488083708231e-17, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3025078773498535, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 0.11011646956003741, 1.3942792916125796e-14, 0.0, 1000, 100, 15, 10, 5000, 0, 0, -1, -1, -1
PERIODIC_BC, 5e-05, 1e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.6604301333427429, 0.783, 0.6694000000000002
OPEN_BC, 5.13806428769159e-07, 1.0839757380775815e-13, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.302581310272217, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 0.002718301432677405, 8.663482021643187e-13, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3036255836486816, 0.12700000000000003, 0.08900000000000002
OPEN_BC, 6.544626835568306e-07, 0.00012115256775601743, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3025784492492676, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 2.06744681086174e-05, 7.757012356826454e-17, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.1006083488464355, 0.13999999999999999, 0.1288
OPEN_BC, 3.0616511444107835e-05, 1.3256432318124458e-10, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 1.8881582021713257, 0.27, 0.282
